stop_id,shading,heat_vulnerability_index,heat_vulnerability_label,tree_canopy_pct,lst_median,shade_coverage,shade_sources
924,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
928,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
933,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
935,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
938,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
951,Unknown,4.955854,Low Vulnerability,0.497326,96.000000,Unknown,None
953,Unknown,4.955854,Low Vulnerability,0.497326,96.000000,Unknown,None
954,Unknown,8.387570,Elevated Vulnerability,0.375265,97.000000,Unknown,None
956,Unknown,5.089086,Low Vulnerability,0.543349,96.000000,Unknown,None
958,Unknown,5.071506,Low Vulnerability,0.498364,96.000000,Unknown,None
959,Unknown,5.089086,Low Vulnerability,0.543349,96.000000,Unknown,None
1013,Unknown,5.071506,Low Vulnerability,0.498364,96.000000,Unknown,None
1014,Unknown,8.387570,Elevated Vulnerability,0.375265,97.000000,Unknown,None
1015,Unknown,8.387570,Elevated Vulnerability,0.375265,97.000000,Unknown,None
1029,Unknown,9.615051,Most Vulnerable,0.156406,102.000000,Unknown,None
1035,Unknown,7.652022,Moderate Vulnerability,0.212910,103.000000,Unknown,None
1037,Unknown,7.421590,Moderate Vulnerability,0.203629,104.000000,Unknown,None
1038,Unknown,7.421590,Moderate Vulnerability,0.203629,104.000000,Unknown,None
1046,Unknown,6.419145,Moderate Vulnerability,0.345393,101.000000,Unknown,None
1047,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1048,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1049,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1051,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1053,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1055,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1056,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1058,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1061,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1064,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1065,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1068,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1071,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1075,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1077,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1078,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1081,Unknown,7.990267,Elevated Vulnerability,0.305496,103.000000,Unknown,None
1082,Unknown,6.719151,Moderate Vulnerability,0.261420,100.000000,Unknown,None
1085,Unknown,6.719151,Moderate Vulnerability,0.261420,100.000000,Unknown,None
1086,Unknown,7.163068,Moderate Vulnerability,0.311446,101.000000,Unknown,None
1088,Unknown,6.719151,Moderate Vulnerability,0.261420,100.000000,Unknown,None
1097,Unknown,6.215726,Low Vulnerability,0.137940,103.000000,Unknown,None
1104,Unknown,5.822485,Moderate Vulnerability,0.319283,95.000000,Unknown,None
1107,Unknown,5.822485,Moderate Vulnerability,0.319283,95.000000,Unknown,None
1108,Unknown,7.627577,Moderate Vulnerability,0.366090,99.000000,Unknown,None
1109,Unknown,7.627577,Moderate Vulnerability,0.366090,99.000000,Unknown,None
1110,Unknown,7.627577,Moderate Vulnerability,0.366090,99.000000,Unknown,None
1111,Unknown,5.990742,Low Vulnerability,0.373254,98.000000,Unknown,None
1113,Unknown,5.990742,Low Vulnerability,0.373254,98.000000,Unknown,None
1114,Unknown,5.990742,Low Vulnerability,0.373254,98.000000,Unknown,None
1116,Unknown,5.066517,Low Vulnerability,0.483642,96.000000,Unknown,None
1119,Unknown,5.066517,Low Vulnerability,0.483642,96.000000,Unknown,None
1120,Unknown,5.866803,Low Vulnerability,0.539590,97.000000,Unknown,None
1121,Unknown,5.866803,Low Vulnerability,0.539590,97.000000,Unknown,None
1122,Unknown,5.866803,Low Vulnerability,0.539590,97.000000,Unknown,None
1124,Unknown,6.097635,Low Vulnerability,0.344494,101.000000,Unknown,None
1125,Unknown,6.097635,Low Vulnerability,0.344494,101.000000,Unknown,None
1129,Unknown,4.662805,Low Vulnerability,0.443585,97.000000,Unknown,None
1130,Unknown,4.662805,Low Vulnerability,0.443585,97.000000,Unknown,None
1131,Unknown,4.662805,Low Vulnerability,0.443585,97.000000,Unknown,None
1133,Unknown,4.662805,Low Vulnerability,0.443585,97.000000,Unknown,None
1134,Unknown,4.662805,Low Vulnerability,0.443585,97.000000,Unknown,None
1135,Unknown,4.662805,Low Vulnerability,0.443585,97.000000,Unknown,None
1136,Unknown,6.183169,Moderate Vulnerability,0.386993,100.000000,Unknown,None
1140,Unknown,7.687929,Moderate Vulnerability,0.359411,102.000000,Unknown,None
1143,Unknown,6.719151,Moderate Vulnerability,0.261420,100.000000,Unknown,None
1149,Unknown,7.499257,Moderate Vulnerability,0.253834,103.000000,Unknown,None
1150,Unknown,7.499257,Moderate Vulnerability,0.253834,103.000000,Unknown,None
1152,Unknown,7.499257,Moderate Vulnerability,0.253834,103.000000,Unknown,None
1153,Unknown,7.499257,Moderate Vulnerability,0.253834,103.000000,Unknown,None
1154,Unknown,7.499257,Moderate Vulnerability,0.253834,103.000000,Unknown,None
1156,Unknown,7.499257,Moderate Vulnerability,0.253834,103.000000,Unknown,None
1157,Unknown,4.246028,Low Vulnerability,0.473824,97.000000,Unknown,None
1158,Unknown,4.246028,Low Vulnerability,0.473824,97.000000,Unknown,None
1160,Unknown,4.938997,Low Vulnerability,0.400135,96.000000,Unknown,None
