stop_id,stop_name,stop_lat,stop_lon,agency,routes,municipality,shading,shade_coverage,shade_sources,review_status,confidence,ridership,priority_score,heat_vulnerability_label,stop_code,nearby_destinations,tree_canopy_pct,heat_vulnerability_index,lst_median
2074,Cypress St @ Hubert Ave,27.952078,-82.516084,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2074,,0.229019,6.461519,101.0
7567,Cypress St @ INS/Homeland Security,27.95241,-82.540596,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,7567,,0.229019,6.461519,101.0
7722,Cypress St @ Lincoln Ave,27.952153,-82.497516,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,7722,,0.316693,5.355435,101.0
7724,Cypress St @ Lincoln Ave,27.951981,-82.497101,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,7724,,0.316693,5.355435,101.0
2055,Cypress St @ Lois Ave,27.952315,-82.513584,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2055,,0.229019,6.461519,101.0
2075,Cypress St @ Lois Ave,27.952083,-82.513472,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2075,,0.229019,6.461519,101.0
2046,Cypress St @ MacDill Av,27.952101,-82.492312,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2046,,0.202803,6.331413,101.0
2086,Cypress St @ MacDill Av E/S,27.951938,-82.492524,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2086,,0.202803,6.331413,101.0
2057,Cypress St @ Manhattan Ave,27.952339,-82.517856,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2057,,0.229019,6.461519,101.0
2073,Cypress St @ Manhattan Ave,27.952103,-82.51817,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2073,,0.229019,6.461519,101.0
2095,Cypress St @ N Blvd,27.951897,-82.469009,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Most Vulnerable,2095,,0.156406,9.615051,102.0
4870,Cypress St @ N Blvd,27.952044,-82.469126,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Most Vulnerable,4870,,0.156406,9.615051,102.0
2063,Cypress St @ O'Brien St,27.952509,-82.532081,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2063,,0.229019,6.461519,101.0
7265,Cypress St @ O'Brien St,27.952327,-82.532648,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,7265,,0.229019,6.461519,101.0
2060,Cypress St @ Occident St,27.952432,-82.525946,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2060,,0.229019,6.461519,101.0
2069,Cypress St @ Occident St,27.952178,-82.526644,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2069,,0.229019,6.461519,101.0
7545,Cypress St @ Renellie St,27.952154,-82.523333,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,7545,,0.229019,6.461519,101.0
7474,Cypress St @ Reo St,27.952288,-82.53605,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,7474,,0.229019,6.461519,101.0
2039,Cypress St @ Rome Av,27.952075,-82.476615,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2039,,0.170523,6.436959,102.0
7709,Cypress St @ Rome Av,27.951909,-82.475748,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,7709,,0.170523,6.436959,102.0
2062,Cypress St @ Sherrill St,27.952483,-82.530158,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2062,,0.229019,6.461519,101.0
2067,Cypress St @ Sherrill St,27.952238,-82.53039,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2067,,0.229019,6.461519,101.0
2058,Cypress St @ Trask St,27.952399,-82.521886,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2058,,0.229019,6.461519,101.0
2071,Cypress St @ Trask St,27.952145,-82.522351,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2071,,0.229019,6.461519,101.0
2061,Cypress St @ Ward St,27.952458,-82.528031,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2061,,0.229019,6.461519,101.0
2068,Cypress St @ Ward St,27.952204,-82.528699,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2068,,0.229019,6.461519,101.0
2037,Cypress St @ Willow Av,27.952064,-82.472731,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2037,,0.170523,6.436959,102.0
2096,Cypress St @ Willow Av,27.951901,-82.472792,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2096,,0.170523,6.436959,102.0
7081,Dale Mabry @ 13246 Publix Market,28.068828,-82.506039,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,7081,,,,
7078,Dale Mabry @ 14502 Village French Pz,28.08155,-82.506575,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,7078,,,,
1777,Dale Mabry @ Carrollwood Springs BL,28.088733,-82.503636,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,1777,,,,
5462,Dale Mabry @ Carrollwood Springs Bl,28.088257,-82.50344,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,5462,,,,
1779,Dale Mabry @ Ehrlich @ Bank United,28.083176,-82.505972,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,1779,,,,
1757,Dale Mabry @ Hudson Ln @ Taco Bell,28.051043,-82.504041,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,1757,,,,
1778,Dale Mabry Hwy @  Ehrlich Rd(15042),28.086791,-82.504429,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,1778,,,,
5759,Dale Mabry Hwy @ 10004,28.041513,-82.505016,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,5759,,,,
5757,Dale Mabry Hwy @ 10444,28.047112,-82.504676,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,5757,,,,
1756,Dale Mabry Hwy @ 11007,28.049276,-82.504196,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,1756,,,,
5756,Dale Mabry Hwy @ 11010,28.049259,-82.504475,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,5756,,,,
5755,Dale Mabry Hwy @ 11210,28.050735,-82.504405,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,5755,,,,
5754,Dale Mabry Hwy @ 11500,28.053319,-82.504196,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,5754,,,,
